time,price,value
2025-05-15T00:15:00.000Z,3.81,354989
2025-05-15T00:15:00.000Z,3.815,187157
2025-05-15T00:15:00.000Z,3.82,66762
2025-05-15T00:15:00.000Z,3.825,308744
2025-05-15T00:15:00.000Z,3.83,542285
2025-05-15T00:15:00.000Z,3.835,242327
2025-05-15T00:15:00.000Z,3.84,0
2025-05-15T00:15:00.000Z,3.845,0
2025-05-15T00:15:00.000Z,3.85,43035
2025-05-15T00:15:00.000Z,3.855,171963
2025-05-15T00:15:00.000Z,3.86,3180001
2025-05-15T00:15:00.000Z,3.865,0
2025-05-15T00:15:00.000Z,3.87,98
2025-05-15T00:15:00.000Z,3.875,49570
2025-05-15T00:15:00.000Z,3.88,194047
2025-05-15T00:15:00.000Z,3.885,367631
2025-05-15T00:15:00.000Z,3.89,376085
2025-05-15T00:15:00.000Z,3.895,154510
2025-05-15T00:15:00.000Z,3.9,97378
2025-05-15T00:15:00.000Z,3.905,439686
2025-05-15T00:15:00.000Z,3.91,981727
2025-05-15T00:15:00.000Z,3.915,543896
2025-05-15T00:15:00.000Z,3.92,273414
2025-05-15T00:15:00.000Z,3.925,75951
2025-05-15T00:15:00.000Z,3.93,227295
2025-05-15T00:15:00.000Z,3.935,518580
2025-05-15T00:15:00.000Z,3.94,385448
2025-05-15T00:15:00.000Z,3.945,0
2025-05-15T00:15:00.000Z,3.95,0
2025-05-15T00:15:00.000Z,3.955,117963
2025-05-15T00:15:00.000Z,3.96,-4353209
2025-05-15T00:15:00.000Z,3.965,-3537387
2025-05-15T00:15:00.000Z,3.97,260133
2025-05-15T00:15:00.000Z,3.975,102857
2025-05-15T00:15:00.000Z,3.98,126157
2025-05-15T00:15:00.000Z,3.985,739371
2025-05-15T00:15:00.000Z,3.99,514556
2025-05-15T00:15:00.000Z,3.995,170728
2025-05-15T00:15:00.000Z,4,-353880
2025-05-15T00:15:00.000Z,4.005,43128
2025-05-15T00:15:00.000Z,4.01,0
2025-05-15T00:15:00.000Z,4.015,13567
2025-05-15T00:15:00.000Z,4.02,-857077
2025-05-15T00:15:00.000Z,4.025,-537078
2025-05-15T00:15:00.000Z,4.03,-394691
2025-05-15T00:15:00.000Z,4.035,-34232
2025-05-15T00:15:00.000Z,4.04,303309
2025-05-15T00:15:00.000Z,4.045,123549
2025-05-15T00:15:00.000Z,4.05,212035
2025-05-15T00:15:00.000Z,4.055,47482
2025-05-15T00:15:00.000Z,4.06,400004
2025-05-15T00:15:00.000Z,4.065,623440
2025-05-15T00:15:00.000Z,4.07,474485
2025-05-15T00:15:00.000Z,4.075,15821
2025-05-15T00:20:00.000Z,3.53,0
2025-05-15T00:20:00.000Z,3.535,0
2025-05-15T00:20:00.000Z,3.54,0
2025-05-15T00:20:00.000Z,3.545,0
2025-05-15T00:20:00.000Z,3.55,0
2025-05-15T00:20:00.000Z,3.555,0
2025-05-15T00:20:00.000Z,3.56,0
2025-05-15T00:20:00.000Z,3.565,0
2025-05-15T00:20:00.000Z,3.57,0
2025-05-15T00:20:00.000Z,3.575,0
2025-05-15T00:20:00.000Z,3.58,0
2025-05-15T00:20:00.000Z,3.585,0
2025-05-15T00:20:00.000Z,3.59,0
2025-05-15T00:20:00.000Z,3.595,0
2025-05-15T00:20:00.000Z,3.6,0
2025-05-15T00:20:00.000Z,3.605,0
2025-05-15T00:20:00.000Z,3.61,0
2025-05-15T00:20:00.000Z,3.615,0
2025-05-15T00:20:00.000Z,3.62,0
2025-05-15T00:20:00.000Z,3.625,0
2025-05-15T00:20:00.000Z,3.63,0
2025-05-15T00:20:00.000Z,3.635,0
2025-05-15T00:20:00.000Z,3.64,0
2025-05-15T00:20:00.000Z,3.645,0
2025-05-15T00:20:00.000Z,3.65,0
2025-05-15T00:20:00.000Z,3.655,0
2025-05-15T00:20:00.000Z,3.66,0
2025-05-15T00:20:00.000Z,3.665,0
2025-05-15T00:20:00.000Z,3.67,0
2025-05-15T00:20:00.000Z,3.675,0
2025-05-15T00:20:00.000Z,3.68,0
2025-05-15T00:20:00.000Z,3.685,0
2025-05-15T00:20:00.000Z,3.69,0
2025-05-15T00:20:00.000Z,3.695,0
2025-05-15T00:20:00.000Z,3.7,0
2025-05-15T00:20:00.000Z,3.705,0
2025-05-15T00:20:00.000Z,3.71,0
2025-05-15T00:20:00.000Z,3.715,0
2025-05-15T00:20:00.000Z,3.72,0
2025-05-15T00:20:00.000Z,3.725,0
2025-05-15T00:20:00.000Z,3.73,0
2025-05-15T00:20:00.000Z,3.735,0
2025-05-15T00:20:00.000Z,3.74,0
2025-05-15T00:20:00.000Z,3.745,0
2025-05-15T00:20:00.000Z,3.75,0
2025-05-15T00:20:00.000Z,3.755,0
2025-05-15T00:20:00.000Z,3.76,0
2025-05-15T00:20:00.000Z,3.765,0
2025-05-15T00:20:00.000Z,3.77,0
2025-05-15T00:20:00.000Z,3.775,0
2025-05-15T00:20:00.000Z,3.78,0
2025-05-15T00:20:00.000Z,3.785,0
2025-05-15T00:20:00.000Z,3.79,2
2025-05-15T00:20:00.000Z,3.795,27002
2025-05-15T00:20:00.000Z,3.8,141793
2025-05-15T00:20:00.000Z,3.805,389313
2025-05-15T00:20:00.000Z,3.81,354995
2025-05-15T00:20:00.000Z,3.815,298920
2025-05-15T00:20:00.000Z,3.82,133047
2025-05-15T00:20:00.000Z,3.825,371705
2025-05-15T00:20:00.000Z,3.83,559325
2025-05-15T00:20:00.000Z,3.835,242328
2025-05-15T00:20:00.000Z,3.84,0
2025-05-15T00:20:00.000Z,3.845,0
2025-05-15T00:20:00.000Z,3.85,43035
2025-05-15T00:20:00.000Z,3.855,171963
2025-05-15T00:20:00.000Z,3.86,3180001
2025-05-15T00:20:00.000Z,3.865,0
2025-05-15T00:20:00.000Z,3.87,98
2025-05-15T00:20:00.000Z,3.875,49570
2025-05-15T00:20:00.000Z,3.88,194047
2025-05-15T00:20:00.000Z,3.885,367631
2025-05-15T00:20:00.000Z,3.89,380363
2025-05-15T00:20:00.000Z,3.895,267412
2025-05-15T00:20:00.000Z,3.9,162679
2025-05-15T00:20:00.000Z,3.905,505574
2025-05-15T00:20:00.000Z,3.91,996791
2025-05-15T00:20:00.000Z,3.915,543896
2025-05-15T00:20:00.000Z,3.92,381187
2025-05-15T00:20:00.000Z,3.925,123978
2025-05-15T00:20:00.000Z,3.93,303051
2025-05-15T00:20:00.000Z,3.935,0
2025-05-15T00:20:00.000Z,3.94,0
2025-05-15T00:20:00.000Z,3.945,54879
2025-05-15T00:20:00.000Z,3.95,308368
2025-05-15T00:20:00.000Z,3.955,224744
2025-05-15T00:20:00.000Z,3.96,-4309507
2025-05-15T00:20:00.000Z,3.965,-3537377
2025-05-15T00:20:00.000Z,3.97,291219
2025-05-15T00:20:00.000Z,3.975,427044
2025-05-15T00:20:00.000Z,3.98,229255
2025-05-15T00:20:00.000Z,3.985,789450
2025-05-15T00:20:00.000Z,3.99,523182
2025-05-15T00:20:00.000Z,3.995,170728
2025-05-15T00:20:00.000Z,4,-353880
2025-05-15T00:20:00.000Z,4.005,43128
2025-05-15T00:20:00.000Z,4.01,0
2025-05-15T00:20:00.000Z,4.015,13567
2025-05-15T00:20:00.000Z,4.02,-857077
2025-05-15T00:20:00.000Z,4.025,-537078
2025-05-15T00:20:00.000Z,4.03,-394691
2025-05-15T00:20:00.000Z,4.035,-34232
2025-05-15T00:20:00.000Z,4.04,303309
2025-05-15T00:20:00.000Z,4.045,123557
2025-05-15T00:20:00.000Z,4.05,316208
